H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_OH(r)

 Bin no.        r             g(r)        std.
    279  8.310021     0.9886256     0.3112195E-01
    280  8.340021     0.9882094     0.3154331E-01
    281  8.370021     0.9886018     0.3159240E-01
    282  8.400021     0.9878677     0.3225152E-01
    283  8.430020     0.9879945     0.3150455E-01
    284  8.460020     0.9883150     0.3107211E-01
    285  8.490020     0.9876399     0.3125668E-01
    286  8.520020     0.9887956     0.3091827E-01
    287  8.550019     0.9889432     0.3116883E-01
    288  8.580019     0.9888853     0.3104044E-01
    289  8.610019     0.9890791     0.3058586E-01
    290  8.640018     0.9891782     0.3102508E-01
    291  8.670018     0.9903024     0.3086907E-01
    292  8.700018     0.9906271     0.3078690E-01
    293  8.730018     0.9896769     0.3044327E-01
    294  8.760017     0.9918118     0.3009968E-01
    295  8.790017     0.9928353     0.3011749E-01
    296  8.820017     0.9922991     0.3026556E-01
    297  8.850017     0.9929108     0.2991594E-01
    298  8.880016     0.9951417     0.2936191E-01
    299  8.910016     0.9950208     0.2993984E-01
    300  8.940016     0.9955956     0.2959142E-01
    301  8.970016     0.9961050     0.2917557E-01
    302  9.000015     0.9968708     0.2904760E-01
    303  9.030015     0.9965332     0.2898084E-01
    304  9.060015     0.9973122     0.2947436E-01
    305  9.090014     0.9980001     0.2949558E-01
    306  9.120014     0.9973230     0.2854149E-01
    307  9.150014     0.9971575     0.2893041E-01
    308  9.180014     0.9989827     0.2916331E-01
    309  9.210013     0.9996971     0.2902502E-01
    310  9.240013     0.9997231     0.2894791E-01
    311  9.270013      1.000292     0.2908657E-01
    312  9.300013      1.000085     0.2844002E-01
    313  9.330012      1.001142     0.2869042E-01
    314  9.360012      1.001304     0.2845469E-01
    315  9.390012      1.001695     0.2824655E-01
    316  9.420012      1.001143     0.2883134E-01
    317  9.450011      1.002837     0.2831610E-01
    318  9.480011      1.001940     0.2880032E-01
    319  9.510011      1.003536     0.2764940E-01
    320  9.540010      1.002942     0.2826132E-01
    321  9.570010      1.003327     0.2804112E-01
    322  9.600010      1.002561     0.2693304E-01
    323  9.630010      1.003311     0.2765155E-01
    324  9.660009      1.002824     0.2745904E-01
    325  9.690009      1.003182     0.2648673E-01
    326  9.720009      1.003780     0.2791970E-01
    327  9.750009      1.004576     0.2665497E-01
    328  9.780008      1.003021     0.2703244E-01
    329  9.810008      1.003986     0.2786200E-01
    330  9.840008      1.003222     0.2724548E-01
    331  9.870008      1.003681     0.2694631E-01
    332  9.900007      1.004197     0.2699935E-01
    333  9.930007      1.004315     0.2683104E-01
    334  9.960007      1.004469     0.2685991E-01
    335  9.990006      1.003865     0.2680215E-01
    336  10.02001      1.003957     0.2633552E-01
    337  10.05001      1.004601     0.2745904E-01
    338  10.08001      1.003662     0.2631741E-01
    339  10.11001      1.004401     0.2668849E-01
    340  10.14001      1.004180     0.2596858E-01
    341  10.17000      1.004289     0.2651821E-01
    342  10.20000      1.004778     0.2597087E-01
    343  10.23000      1.003845     0.2535539E-01
    344  10.26000      1.004827     0.2566149E-01
    345  10.29000      1.002941     0.2566381E-01
    346  10.32000      1.004183     0.2570559E-01
    347  10.35000      1.003481     0.2582126E-01
    348  10.38000      1.002572     0.2566614E-01
    349  10.41000      1.002921     0.2553809E-01
    350  10.44000      1.002621     0.2542816E-01
    351  10.47000      1.002042     0.2515952E-01
    352  10.50000      1.002790     0.2588351E-01
    353  10.53000      1.002829     0.2575192E-01
    354  10.56000      1.002544     0.2594102E-01
