H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_HH(r)

 Bin no.        r             g(r)        std.
    211  6.270013      1.004010     0.4254777E-01
    212  6.300013      1.003705     0.4300757E-01
    213  6.330013      1.003464     0.4189129E-01
    214  6.360013      1.004942     0.4245520E-01
    215  6.390014      1.005648     0.4184715E-01
    216  6.420014      1.005137     0.4155414E-01
    217  6.450014      1.004891     0.4079268E-01
    218  6.480014      1.005916     0.4119977E-01
    219  6.510015      1.004956     0.4181438E-01
    220  6.540015      1.005620     0.4117227E-01
    221  6.570015      1.005350     0.4061989E-01
    222  6.600015      1.005165     0.4075028E-01
    223  6.630015      1.005605     0.4041689E-01
    224  6.660016      1.004741     0.4039476E-01
    225  6.690016      1.004653     0.3952063E-01
    226  6.720016      1.006355     0.4015056E-01
    227  6.750016      1.006037     0.3954475E-01
    228  6.780016      1.007105     0.3912501E-01
    229  6.810017      1.004709     0.3963208E-01
    230  6.840017      1.004898     0.3895095E-01
    231  6.870017      1.006135     0.3855876E-01
    232  6.900017      1.005964     0.3811410E-01
    233  6.930017      1.005155     0.3921023E-01
    234  6.960018      1.004881     0.3845350E-01
    235  6.990018      1.007188     0.3780003E-01
    236  7.020018      1.005505     0.3726965E-01
    237  7.050018      1.005911     0.3760241E-01
    238  7.080019      1.006911     0.3784101E-01
    239  7.110019      1.007121     0.3756594E-01
    240  7.140019      1.007138     0.3746903E-01
    241  7.170019      1.007215     0.3665363E-01
    242  7.200019      1.007508     0.3688221E-01
    243  7.230020      1.007437     0.3714790E-01
    244  7.260020      1.007402     0.3623823E-01
    245  7.290020      1.007012     0.3597410E-01
    246  7.320020      1.007215     0.3579305E-01
    247  7.350020      1.006490     0.3628426E-01
    248  7.380021      1.007648     0.3589448E-01
    249  7.410021      1.006969     0.3668614E-01
    250  7.440021      1.008198     0.3587455E-01
    251  7.470021      1.007219     0.3639415E-01
    252  7.500021      1.007246     0.3539786E-01
    253  7.530022      1.006923     0.3579305E-01
    254  7.560022      1.007049     0.3449561E-01
    255  7.590022      1.007120     0.3466281E-01
    256  7.620022      1.006981     0.3464905E-01
    257  7.650023      1.005439     0.3403814E-01
    258  7.680023      1.005438     0.3496244E-01
    259  7.710023      1.005778     0.3474868E-01
    260  7.740023      1.005080     0.3446276E-01
    261  7.770023      1.005227     0.3422152E-01
    262  7.800024      1.003472     0.3356556E-01
    263  7.830024      1.003834     0.3388897E-01
    264  7.860024      1.003557     0.3328918E-01
    265  7.890024      1.003671     0.3336072E-01
    266  7.920024      1.002562     0.3295989E-01
    267  7.950025      1.001701     0.3296712E-01
    268  7.980025      1.002372     0.3346954E-01
    269  8.010024      1.001624     0.3381502E-01
    270  8.040024     0.9995964     0.3244316E-01
    271  8.070024     0.9993748     0.3241283E-01
    272  8.100023      1.000087     0.3243489E-01
    273  8.130023     0.9996907     0.3257242E-01
    274  8.160023     0.9989421     0.3277309E-01
    275  8.190022     0.9989805     0.3253855E-01
    276  8.220022     0.9992790     0.3248447E-01
    277  8.250022     0.9978603     0.3206711E-01
    278  8.280022     0.9974768     0.3188723E-01
